ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10014,11630
10015,10056
10020,12268
10020,13942
10020,13942
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,13970
10020,15785
10020,15785
10020,15785
10020,15785
10020,15785
10020,15785
10020,15785
10020,15785
10020,15785
10020,15785
10022,10299
10025,10304
10026,10304
10026,10304
10031,11630
10040,11327
10040,11327
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10040,11630
10043,10056
10044,10056
10044,10056
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10049,15741
10050,12807
10055,14709
10056,10243
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10278
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,10324
10056,11299
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12705
10056,12721
10056,12721
10056,12743
10056,12743
10056,12743
10056,12743
10056,12743
10056,12743
10056,12743
10056,12743
10056,12743
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12771
10056,12772
10056,12782
10056,12782
10056,12782
10056,12782
10056,12782
10056,12782
10056,12782
10056,12782
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12785
10056,12854
10056,12854
10056,12854
10056,12854
10056,12854
10056,12854
10056,12854
10056,12854
10056,12869
10056,12869
10056,12869
10056,12869
10056,12869
10056,12869
10056,12869
10056,13863
10056,13863
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15091
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10056,15446
10058,12523
10059,12523
10060,12523
10098,11336
10135,10135
10135,10135
10135,10135
10135,10135
10135,10135
10135,10135
10135,10135
10135,10158
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10257
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10397
10135,10423
10135,10423
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10434
10135,10529
10135,10540
10135,10581
10135,10581
10135,10581
10135,10581
10135,10599
10135,10693
10135,10693
10135,10693
10135,10693
10135,10693
10135,10693
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10721
10135,10747
10135,10785
10135,10785
10135,10785
10135,10792
10135,10792
10135,10868
10135,10868
10135,10990
10135,10990
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11042
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11057
10135,11058
10135,11066
10135,11066
10135,11066
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11193
10135,11252
10135,11267
10135,11267
10135,11267
10135,11267
10135,11267
10135,11298
10135,11298
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11433
10135,11612
10135,11618
10135,11618
10135,11618
10135,11618
10135,11618
10135,11618
10135,11618
10135,11618
10135,11618
10135,11697
10135,11697
10135,11697
10135,11697
10135,11697
10135,11697
10135,11697
10135,11697
10135,11697
10135,11977
10135,11977
10135,11977
10135,11977
10135,11986
10135,11995
10135,11995
10135,11995
10135,11995
10135,12197
10135,12217
10135,12217
10135,12217
10135,12217
10135,12217
10135,12217
10135,12217
10135,12217
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12264
10135,12266
10135,12266
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12324
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12339
10135,12391
10135,12451
10135,12478
10135,12478
10135,12478
10135,12478
10135,12478
10135,12478
10135,12884
10135,12884
10135,12884
10135,12892
10135,12917
10135,12917
10135,12917
10135,12917
10135,12917
10135,12917
10135,12917
10135,12917
10135,12953
10135,12953
10135,12953
10135,12992
10135,13204
10135,13204
10135,13204
10135,13204
10135,13230
10135,13230
10135,13230
10135,13230
10135,13230
10135,13230
